"genus","species","family","habitat","repo","W","Traup","D","Delta","Gamma","expansion","T.centerline","tan.lead","tan.beta","sin.beta","cot.spiral"
"Morum","grande","Harpidae","M","SPMN",2.287,1.467,-0.038,0.141,-0.883,0.131659480756581,2.934,0.382983815201924,0.340831629175187,0.322608240927824,0.408109477854401
"Harpa","major","Harpidae","M","SPMN",2.686,0.874,0.02,0.157,-0.735,0.157253534600043,1.748,0.271542242189543,0.5720823798627,0.496566689430957,0.316681601780917
"Cancilla","isabella","Mitridae","M","SPMN",1.383,4.816,-0.138,0.146,-0.025,0.0516067944569621,9.632,0.496416040957814,0.103820598006645,0.103265554589599,0.499748388144134
"Mitra","eremitarum","Mitridae","M","SPMN",1.509,3.666,-0.103,0.154,-0.156,0.0654838524841158,7.332,0.479101479383711,0.136388434260775,0.13513732656901,0.484572650256444
"Mitra","mitra","Mitridae","M","UMUT",1.526,3.769,-0.495,0.145,0.274,0.0672668260124872,7.538,0.505914039853971,0.132661183337755,0.131509017553135,0.511499722711475
"Mitra","swainsoni","Mitridae","M","SPMN",1.321,5.959,-0.209,0.028,0.023,0.0443069895172569,11.918,0.527533152319339,0.0839066957543212,0.083612880699928,0.529906267387999
"Vexillum","taeniatum","Costellariidae","M","SPMN",1.299,5.068,-0.169,-0.007,0.222,0.0416340955899465,10.136,0.421637917978779,0.0986582478295186,0.0981815821672102,0.424051992959746
"Pusia","cancellaroides.","Costellariidae","M","UMUT",1.455,2.277,-0.176,0.379,-0.405,0.0596840427728511,4.554,0.271318317358058,0.219587176108915,0.214477163699252,0.278276911832638
"Cystiscus","nanavensis","Cystiscidae","M","UMUT",1.733,1.034,-0.321,0.078,-0.078,0.0875119837871357,2.068,0.18028575370297,0.483558994197292,0.435333336891845,0.201022932017902
"Cancellaria","nodulifera","Cancellariidae","M","UMUT",2.245,1.113,0.009,0.462,-0.432,0.128709481203767,2.226,0.284163230754273,0.449236298292902,0.409785272307611,0.314090061067763
"Cancellaria","spengleriana","Cancellariidae","M","UMUT",1.92,1.761,-0.121,0.365,-0.687,0.103820777861557,3.522,0.363701906608176,0.283929585462805,0.273133487275079,0.380110029338866
"Conus","pulicarius","Conidae","M","SUM",1.394,1.184,0.088,0.262,0,0.052867661241626,2.368,0.125016034469096,0.422297297297297,0.389030733260048,0.135895847607203
"Conus","stimpsoni","Conidae","M","SPMN",1.355,1.129,-0.028,0.34,-0.336,0.0483515031753911,2.258,0.10905029599556,0.442869796279894,0.404935830833646,0.11940534646156
"Conus","euetrios","Conidae","M","SPMN",1.448,0.773,-0.097,0.012,-0.221,0.0589165010843351,1.546,0.0909272361616813,0.646830530401035,0.543116154420269,0.108478638694192
"Conus","textile","Conidae","M","SPMN",1.742,1.484,-0.226,0.012,0.109,0.0883363853356501,2.968,0.261165393635719,0.336927223719677,0.31929131199889,0.276663917920689
"Conus","capitaneus","Conidae","M","SPMN",1.752,0.467,-0.065,-0.019,0.13,0.0892474063869229,0.934,0.0830270739355022,1.07066381156317,0.730812196438028,0.122120849681921
"Conus","tulipa","Conidae","M","SPMN",2.132,1.615,-0.097,0.064,-0.152,0.120489921797871,3.23,0.386387799404836,0.309597523219814,0.295747987182093,0.407407411106689
"Bathytoma","luhdorfi","Turridae","M","UMUT",1.429,NA,-0.168,-0.116,-0.243,0.0568143197272611,NA,NA,NA,NA,NA
"Thatcheria","mirabilis","Turridae","M","SUM",1.694,1.362,0.087,-0.322,-0.084,0.0838893921571232,2.724,0.22771484535127,0.367107195301028,0.344619156696207,0.243426375252477
"Turris","babylonia","Turridae","M","UMUT",1.316,4.401,-0.248,0.028,0.135,0.0437034433139116,8.802,0.384310867989425,0.113610543058396,0.112884359543451,0.387152334394825
"Turris","grandis","Turridae","M","UMUT",1.263,6.265,-0.202,0.173,-0.308,0.0371610627338259,12.53,0.465306945343404,0.0798084596967279,0.0795555018357702,0.467108645867625
"Subula","muscaria","Terebridae","M","UMUT",1.193,8.682,-0.256,0.368,0.029,0.0280862547399535,17.364,0.487497487009178,0.0575904169546188,0.0574951500603092,0.488497807388843
"Oxymeris","crenulatus","Terebridae","M","UMUT",1.233,6.914,-0.275,0.381,-0.042,0.0333350385103039,13.828,0.460701012397935,0.0723170378941279,0.0721286762288527,0.462160686334201
"Architectonica","perspectiva","Architectonicidae","M","UMUT",1.65,0.794,0.366,0.295,-0.134,0.0797008624495397,1.588,0.12616488987347,0.629722921914358,0.532869800853283,0.149569111107282
"Architectonica","tavlori","Architectonicidae","M","UMUT",1.613,0.789,0.335,0.677,-0.418,0.0760913097050898,1.578,0.119725986968767,0.633713561470215,0.535281285830433,0.142152008148467
"Phsilaxis","radiatus","Architectonicidae","M","UMUT",1.821,0.744,0.269,0.184,-0.184,0.0953952130077355,1.488,0.141306570791461,0.672043010752688,0.557785647232962,0.171024861397864
"Longchaeus","canaliculatus.","Pyramidellidae","M","UMUT",1.209,4.901,-0.096,0.217,-0.455,0.0302065850924029,9.802,0.295949959897927,0.1020199959192,0.101493188543209,0.297621796358708
"Otopleura","mitralis","Pyramidellidae","M","UMUT",1.324,3.045,-0.23,0.594,-0.949,0.0446680216790867,6.09,0.271757277692279,0.164203612479475,0.162033698703523,0.275671184676323
"Pyramidella","dolabrata","Pyramidellidae","M","UMUT",1.234,NA,-0.138,-0.03,-0.264,0.0334640656297273,NA,NA,NA,NA,NA
"Acteon","tornatilis","Acteonidae","M","UMUT",1.718,2.071,-0.07,0.005,-0.126,0.0861284200775835,4.142,0.355428050505401,0.241429261226461,0.234686415355188,0.366993632533999
"Acteon","tornatilis","Acteonidae","M","UMUT",1.864,1.825,-0.043,-0.021,0.124,0.099109716778818,3.65,0.359986759322663,0.273972602739726,0.2642351470786,0.375081505524837
"Pupa","strigosa","Acteonidae","M","UMUT",1.902,2.101,-0.192,0.099,-0.557,0.102321662133468,4.202,0.427722387049525,0.237981913374584,0.23151619464163,0.441963303223146
"Scaphander","lignaria","Scaphandridae","M","UMUT",1.732,1.611,-0.255,0.109,0.39,0.0874201194595682,3.222,0.280597463811998,0.310366232153942,0.296417861492715,0.294921901869658
"Atys","naucum","Haminoeidae","M","UMUT",2.219,0.323,0.014,0.08,-0.019,0.126855504808952,0.646,0.0812971370234221,1.54798761609907,0.839975569833815,0.151022850383672
"Bulla","vernicosa","Bullidae","M","SUM",1.479,0.964,-0.347,0.145,-0.422,0.0622878626994276,1.928,0.11985871178542,0.518672199170125,0.460424676463064,0.135283502130939
"Bulla","vernicosa","Bullidae","M","UMUT",1.634,1.6,-0.215,0.135,-0.567,0.0781500102944165,3.2,0.249319840875625,0.3125,0.298274993135947,0.262006578133748
"Hydatina","amplustre","Hydatinidae","M","UMUT",3.355,1.262,-0.113,0.019,-0.37,0.192649382637259,2.524,0.477467448608487,0.396196513470681,0.368340340862157,0.523020047672035
"Hydatina","physis","Hydatinidae","M","UMUT",5.311,1.376,-0.101,0.087,-0.124,0.265753763386902,2.752,0.706820521368326,0.363372093023256,0.341523680900929,0.778141541124913
"Ringiculina","kurodai","Ringiculidae","M","UMUT",1.844,2.154,-0.133,0.045,-0.275,0.0973928183265838,4.308,0.417592428186466,0.232126276694522,0.226114382021115,0.430723678237721
"Chilina","parchappei","Chilinidae","F","UMUT",2.19,2.277,-0.257,0.396,-0.521,0.124761805597659,4.554,0.563794333306903,0.219587176108915,0.214477163699252,0.581702049047073
"Radix","swinhoei","Lymnaeidae","F","UMUT",2.501,1.91,-0.136,0.321,0.058,0.145895848535298,3.82,0.551483715897414,0.261780104712042,0.253246537545207,0.576102046446555
"Radix","swinhoei","Lymnaeidae","F","UMUT",3.024,1.854,-0.218,0.299,NA,0.176117749870091,3.708,0.64314640031979,0.269687162891046,0.260384318410769,0.676376177125448
"Radix","auricularia","Lymnaeidae","F","UMUT",4.001,0.976,-0.153,0.334,-0.342,0.220675383915661,1.952,0.420638056244876,0.512295081967213,0.45594634453155,0.483994194848493
"Lymnaea","stagnalis","Lymnaeidae","F","SHIN",2.031,2.331,-0.159,0.384,-0.253,0.112765778495922,4.662,0.522403081451317,0.214500214500215,0.209729606289998,0.537672198459186
"Gyraulus","chinensis","Planorbidae","F","UMUT",1.361,0.251,0.483,0.701,-0.391,0.0490546925803918,0.502,0.0245958801507239,1.99203187250996,0.893711079101612,0.0548887596086457
"Planorbarius","corneus","Planorbidae","F","SPMN",1.236,0.388,0.322,-0.493,-0.738,0.0337218064845852,0.776,0.0261532558358477,1.28865979381443,0.7900323755581,0.0426840817260979
"Physa","acuta","Physidae","F","SHIN",1.933,2.291,-0.305,0.223,-0.719,0.104894757675393,4.582,0.478005249385845,0.218245307725884,0.21322628565877,0.491941025710397
"Cassidula","nucleus","Ellobiidae","L","UMUT",1.641,1.08,-0.037,0.209,-0.749,0.0788303683391264,2.16,0.169746989298554,0.462962962962963,0.420123568111038,0.187636148796803
"Ellobium","chinense","Ellobiidae","L","UMUT",1.514,2.461,-0.138,0.217,-0.08,0.0660103330935235,4.922,0.324197304397269,0.203169443315725,0.199101751815616,0.331540694602498
"Melampus","flavus","Ellobiidae","L","UMUT",1.619,1.311,0.051,0.054,-0.6,0.0766822322023435,2.622,0.200472271754635,0.3813882532418,0.356350947112572,0.215187395525904
"Pythia","pantherina","Ellobiidae","L","SUM",1.381,1.867,-0.172,0.317,-0.253,0.0513764688840696,3.734,0.191587050455407,0.267809319764328,0.25869298229762,0.198600164673049
"Succinea","lauta","Succineidae","L","SHIN",3.908,1.762,-0.407,0.407,-0.414,0.216932283156292,3.524,0.747092509573517,0.283768444948922,0.272990029125185,0.794652771207308
"Buliminus","sinaiensis","Enidae","L","BPBM",1.303,4.937,-0.031,0.412,-0.842,0.0421234270840746,9.874,0.415558202700085,0.101276078590237,0.100760653718602,0.418054325071313
"Achatinella","bulimoides mistura","Clausiliidae","L","BPBM",1.484,2.225,-0.068,0.462,-0.176,0.0628250044279501,4.45,0.279021166335362,0.224719101123595,0.21925132906105,0.286543323121461
"Achatinella","mustelina","Clausiliidae","L","BPBM",1.547,2.18,-0.162,0.523,-0.225,0.0694420982765483,4.36,0.302040174495986,0.229357798165138,0.223553151430422,0.31062902863242
"Auriculella","aurieula","Clausiliidae","L","BPBM",1.452,2.819,-0.108,0.448,-0.518,0.0593555494816389,5.638,0.334058647483329,0.177367860943597,0.174642069157792,0.339869710476289
"Auriculella","montana","Clausiliidae","L","BPBM",1.584,2.328,-0.239,0.391,-0.557,0.0732038402347709,4.656,0.339927494968475,0.214776632302406,0.209987966186455,0.348609692089549
"Luchuphaedusa","inclyta","Clausiliidae","L","SPMN",1.203,6.958,0.143,-0.098,-1.326,0.029414767821881,13.916,0.409158939279684,0.0718597298074159,0.0716749099002693,0.410391416784614
"Megalophaedusa","martensi","Clausiliidae","L","SHIN",1.208,7.603,-0.029,0.048,-0.618,0.030074888814229,15.206,0.457112077340442,0.0657635144022096,0.065621765684127,0.458306607581936
"Partulina","splendida","Clausiliidae","L","BPBM",1.55,2.582,-0.138,0.558,-0.359,0.0697504385920905,5.164,0.359318261526469,0.193648334624322,0.190116487206306,0.366882639254744
"Partulina","virgulate","Clausiliidae","L","BPBM",1.596,2.416,-0.168,0.495,-0.141,0.0744050153181731,4.832,0.358533962727511,0.206953642384106,0.202659214835912,0.367143509257237
"Pinguiphaedusa","platydera","Clausiliidae","L","SHIN",1.234,5.208,-0.024,0.014,-1.052,0.0334640656297273,10.416,0.348366704049936,0.0960061443932412,0.0955667267686221,0.350164400950423
"Liguus","virgineus","Orthalicidae","L","SPMN",1.383,3.829,-0.062,0.562,-0.304,0.0516067944569621,7.658,0.394679613959192,0.130582397492818,0.129483106306846,0.398560058751338
"Orthalicus","undatus.","Orthalicidae","L","SPMN",1.782,2.007,-0.05,0.495,-0.277,0.0919495925718533,4.014,0.367535229691435,0.249128051818635,0.241739225881673,0.380366869449896
"Orthalicus","undatus","Orthalicidae","L","SPMN",1.676,2.295,-0.141,0.544,-0.328,0.0821892044899276,4.59,0.375980698845868,0.217864923747277,0.212871503892155,0.386097730260628
"Orthalicus","undatus","Orthalicidae","L","SPMN",1.729,2.046,-0.121,0.564,-0.197,0.087144207902876,4.092,0.35524775418828,0.244379276637341,0.237393354514768,0.367087815415047
"Placostylus","hargravesi","Orthalicidae","L","SPMN",1.615,3.434,0.003,0.227,-0.324,0.0762885277515052,6.868,0.522431554129033,0.145602795573675,0.144083507908627,0.529474392030243
"Cerion","incanum","Cerionidae","L","UMUT",1.166,4.59,-0.08,0.09,-0.478,0.0244428709993339,9.18,0.22431855577696,0.108932461873638,0.108291845950697,0.225712940662793
"Acavus","phoenix","Bulimulidae","L","SPMN",2.99,1.183,-0.203,0.753,-0.034,0.174318173642127,2.366,0.406309763825866,0.422654268808115,0.389309760775522,0.447762145225637
"Auris","bilabiata","Bulimulidae","L","SPMN",2.003,2.364,-0.111,-0.043,-0.627,0.110556353620501,4.728,0.519544960227603,0.211505922165821,0.206928119405011,0.534274191146125
"Bostryx","tumidulus","Bulimulidae","L","UMUT",1.598,1.982,-0.058,0.464,-0.472,0.0746043327432114,3.964,0.294912002243306,0.252270433905146,0.244607037383158,0.304996673608984
"Luchuena","reticulata variegata","Bulimulidae","L","UMUT",1.357,3.124,-0.014,0.369,-0.08,0.0485862450219163,6.248,0.303209188530494,0.160051216389245,0.15803981130322,0.30743041655939
"Luchuena","reticulata variegata","Bulimulidae","L","UMUT",1.317,3.713,-0.061,0.324,-0.515,0.0438243357945377,7.426,0.32512745196789,0.134661998384056,0.133457386543596,0.328376996804308
"Mirus","japonicus","Bulimulidae","L","UMUT",1.289,4.371,0.011,0.192,-0.714,0.0404041440043102,8.742,0.352925070179484,0.114390299702585,0.113649158692436,0.355516437333726
"Neopetraeus","arboriferus","Bulimulidae","L","UMUT",1.469,3.047,-0.069,0.346,-0.502,0.0612081099617246,6.094,0.372305465395067,0.164095831965868,0.161930132182486,0.377990860235614
"Zebrina","cylindrica","Bulimulidae","L","UMUT",1.257,4.6,-0.099,0.289,-0.543,0.0364031806203058,9.2,0.334687572554574,0.108695652173913,0.108059180768419,0.336881886031703
"Spixia","alvarezi","Odontostomidae","L","UMUT",1.279,4.996,0.02,0.219,-0.671,0.0391646132600164,9.992,0.391033034285965,0.100080064051241,0.0995825960121379,0.393287731274275
"Cyclodontina","inflata","Odontostomidae","L","UMUT",1.286,3.868,-0.067,0.337,-0.828,0.0400332973671818,7.736,0.309449715608562,0.129265770423992,0.12819912717671,0.31227433640792
"Achatina","bicarinata","Achatinidae","L","SHIN",1.613,2.745,-0.028,0.228,-0.407,0.0760913097050898,5.49,0.4165371789978,0.182149362477231,0.179200822456248,0.424614734810538
"Rumina","decollata","Subulinidae","L","SPMN",1.164,6.439,-0.114,0.285,-0.369,0.0241696435621146,12.878,0.311165795941138,0.0776518092871564,0.0774187501595464,0.312193667713638
"Euglandia","rosea","Subulinidae","L","UMUT",1.812,3.092,-0.085,0.275,-0.238,0.0946066650209331,6.184,0.582446850731426,0.161707632600259,0.159633939011279,0.592647563587643
"Rhytida","dunniae","Rhytididae","L","UMUT",2.592,0.546,0.089,NA,-0.312,0.151583907194607,1.092,0.163660041242744,0.915750915750916,0.675357558030573,0.224449856808658
"Pedinogyra","hayii","Haplotrematidae","L","SPMN",1.509,1.606,0.297,0.959,-0.07,0.0654838524841158,3.212,0.209884608808031,0.311332503113325,0.297259276597724,0.220292040112625
"Acavus","haemastoma","Acavidae","L","SHIN",2.283,1.44,-0.054,0.879,-0.372,0.131380872469955,2.88,0.375153019357455,0.347222222222222,0.328011688970412,0.400537166472157
"Acavus","haemastoma","Acavidae","L","SHIN",2.685,1.356,-0.013,0.869,-0.262,0.157194270051567,2.712,0.421139426288171,0.368731563421829,0.345961863974548,0.454368779973772
"Brazieresta","naturalistarum","Acavidae","L","UMUT",1.696,2.596,-0.075,0.334,-0.321,0.0840771856220875,5.192,0.434993974927512,0.192604006163328,0.189127975233974,0.444551820099983
"Pedinogyra","hayii","Caryodidae","L","SHIN",1.436,0.636,0.24,1.059,-0.125,0.0575920417646357,1.272,0.0731358873951405,0.786163522012579,0.618039889205935,0.0931849914066723
"Coxia","macgregori","Zonitidae","L","SPMN",1.145,0.2,0.546,0.883,-0.1,0.021550317297101,0.4,0.0086181259525858,2.5,0.928476690885259,0.023210402058186
"Oxychilus","draparnaudi","Zonitidae","L","UMUT",1.819,0.602,0.088,0.543,-0.438,0.0952203174482762,1.204,0.114129030961954,0.830564784053156,0.638926637947563,0.149031691266081
"Ryssota","lamarckiana","Helicarionidae","L","SPMN",2.662,0.632,-0.077,0.801,-0.209,0.155825058804833,1.264,0.194614287156026,0.791139240506329,0.620448640349893,0.251149005205262
"Megaustenia","siamensis","Ariophantidae","L","SHIN",5.306,0.878,0.011,0.638,0.083,0.265603857617986,1.756,0.450771389218634,0.569476082004556,0.494859378865837,0.536725924497421
"Eobania","vermiculata","Helicidae","L","SPMN",1.89,0.936,-0.19,0.926,-0.191,0.101314349004502,1.872,0.188694497300737,0.534188034188034,0.471175062055371,0.215024854164705
"Helix","pomatia","Helicidae","L","SHIN",2.149,1.248,-0.142,0.524,-0.492,0.121753948078888,2.496,0.301670097746649,0.400641025641026,0.371903590141449,0.327380405315743
"Cepaea","hortensis","Helicidae","L","SHIN",1.827,1.085,-0.075,0.868,-0.276,0.0959187494768319,2.17,0.207192739914605,0.460829493087558,0.418527290747267,0.229181588865023
"Cepaea","nemoralis","Helicidae","L","SHIN",2.614,0.593,0.126,0.512,-0.407,0.152929058785528,1.186,0.17928943297331,0.843170320404722,0.644612027792877,0.237242018752194
"Acusta","despecta despecta","Bradybaenidae","L","UMUT",1.862,1.099,-0.072,0.515,-0.296,0.0989388579936574,2.198,0.216410976941973,0.454959053685168,0.414114924393688,0.238916426734717
"Aegista","elegantissima","Bradybaenidae","L","UMUT",1.661,0.495,0.222,0.956,-0.021,0.0807583742678011,0.99,0.0796913427791752,1.01010101010101,0.710651109010207,0.113639975008667
"Aegista","elegantissima","Bradybaenidae","L","UMUT",1.717,0.549,0.157,1.023,-0.276,0.0860357534414332,1.098,0.0941195559503113,0.910746812386157,0.673342814007046,0.127774072362095
"Aegista","hatakedai","Bradybaenidae","L","SHIN",1.747,0.681,0.161,0.798,-0.033,0.0887925477089504,1.362,0.120461515968785,0.734214390602056,0.591825395713849,0.150031661959775
"Aegista","oculus","Bradybaenidae","L","UMUT",1.453,0.774,0.327,1.032,-0.264,0.0594651225965293,1.548,0.0918896875506584,0.645994832041344,0.542621155299302,0.109588655023465
"Bradybaena","pellucida","Bradybaenidae","L","SHIN",2.123,0.9,0.005,0.637,0.013,0.119816644888841,1.8,0.214138350056801,0.555555555555556,0.485642931178632,0.246717572101897
"Bradybaena","similaris","Bradybaenidae","L","SHIN",1.791,0.872,-0.14,0.617,-0.16,0.0927513823939998,1.744,0.161067079102565,0.573394495412844,0.497424044272833,0.186463407754223
"Bradybaena","similaris","Bradybaenidae","L","SHIN",1.778,0.882,0.058,0.645,0.112,0.0915919408638355,1.764,0.160894713579119,0.566893424036281,0.493161882026612,0.185723885405428
"Calocochlia","zonifera.","Bradybaenidae","L","SPMN",1.687,1.688,-0.134,0.724,-0.307,0.0832303645360056,3.376,0.280017502819824,0.296208530805687,0.284010968906292,0.293053345286347
"Chloraea","stenopsis","Bradybaenidae","L","UMUT",1.812,0.878,-0.043,0.679,-0.461,0.0946066650209331,1.756,0.16539079396578,0.569476082004556,0.494859378865837,0.191178886490464
"Chrysallis","caniceps","Bradybaenidae","L","SHIN",1.466,3.427,-0.15,0.389,-0.307,0.0608827505098961,6.854,0.416519128362376,0.145900204260286,0.14437168515487,0.421708387240795
"Chrysallis","virgata","Bradybaenidae","L","SHIN",1.573,2.973,-0.152,0.559,-0.536,0.0720947420663418,5.946,0.427565607870242,0.168180289270098,0.165851127089545,0.434695520805337
"Chrysallis","virgata","Bradybaenidae","L","SHIN",1.392,3.815,-0.329,0.482,-0.106,0.0526391544642652,7.63,0.401081458544049,0.131061598951507,0.129950263907016,0.405071547233873
"Chrysallis","virgata","Bradybaenidae","L","SPMN",1.454,3.607,-0.406,0.508,-0.531,0.0595746203257138,7.214,0.429010676843078,0.138619351261436,0.137306434432106,0.433880761466949
"Euhadra","aomoriensis","Bradybaenidae","L","SHIN",1.941,0.691,0.048,0.662,-0.145,0.105552084136219,1.382,0.145067104778422,0.723589001447178,0.586218036891426,0.180056015840004
"Euhadra","aomoriensis","Bradybaenidae","L","SHIN",1.91,0.827,0.075,0.644,-0.075,0.102989679664408,1.654,0.16944864040487,0.60459492140266,0.517384094880534,0.199058457118185
"Euhadra","aomoriensis","Bradybaenidae","L","SHIN",1.868,0.739,0.056,0.696,-0.236,0.0994508850618546,1.478,0.146266863202046,0.6765899864682,0.560377209712332,0.177471323491024
"Euhadra","aomoriensis","Bradybaenidae","L","SHIN",1.99,0.808,0.057,0.655,-0.423,0.109520029267654,1.616,0.17593238985555,0.618811881188119,0.526209683647903,0.208130014842022
"Euhadra","herklotsi herklotsi","Bradybaenidae","L","SPMN",1.851,0.805,0.089,0.839,-0.391,0.0979958418364314,1.61,0.157021155198871,0.62111801242236,0.527625517089336,0.185729913854487
"Euhadra","quaesita","Bradybaenidae","L","SHIN",1.802,1.041,0.028,0.46,-0.581,0.0937258938572499,2.082,0.194285820819016,0.48030739673391,0.432956258899103,0.216478898112181
"Euhadra","quaesita","Bradybaenidae","L","SHIN",2.087,0.814,0.067,0.705,-0.454,0.117094688780605,1.628,0.189336559892794,0.614250614250614,0.523396391230166,0.223720856204972
"Euhadra","quaesita","Bradybaenidae","L","SHIN",2.158,0.55,0.102,0.417,-0.317,0.122419096243592,1.1,0.133663163327851,0.909090909090909,0.672672793996313,0.181989070074184
"Euhadra","sandai communis","Bradybaenidae","L","SPMN",2.007,0.664,0.096,0.803,-0.331,0.110873869821756,1.328,0.146343743742868,0.753012048192771,0.601538827798124,0.184317062670085
"Euhadra","scaebola","Bradybaenidae","L","SPMN",1.716,0.563,0.162,0.994,-0.213,0.0859430328194738,1.126,0.0964164342805769,0.88809946714032,0.664034046929009,0.129425641978659
"Helicostyla","marinduquensis","Bradybaenidae","L","SPMN",1.767,1.852,-0.281,0.687,-0.035,0.0906042342388117,3.704,0.334229023282063,0.269978401727862,0.260646417329394,0.347613579987596
"Helicostyla","mirabilis","Bradybaenidae","L","SPMN",2.284,1.214,-0.143,0.715,-0.242,0.131450570278423,2.428,0.316439772367561,0.411861614497529,0.380826419913457,0.345171877277567
"Trishoplita","pallens","Bradybaenidae","L","SHIN",1.774,0.693,0.117,0.671,-0.116,0.0912334836332726,1.386,0.125926616197122,0.721500721500722,0.585105955870073,0.15592643130355
"Amphidromus","atricallosus","Camaenidae","L","SHIN",1.585,2.616,-0.277,0.446,-0.432,0.0733042851375002,5.232,0.382501706775017,0.191131498470948,0.187733192120753,0.390470562554275
